book_id,title,original_title,books_count,authors,average_rating,image_url,small_image_url
32,Of Mice and Men,Of Mice and Men ,373,John Steinbeck,3.84,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg
33,Memoirs of a Geisha,Memoirs of a Geisha,220,Arthur Golden,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
34,"Fifty Shades of Grey (Fifty Shades, #1)",Fifty Shades of Grey,169,E.L. James,3.67,https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg
35,The Alchemist,O Alquimista,458,"Paulo Coelho, Alan R. Clarke",3.82,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg
36,"The Giver (The Giver, #1)",The Giver,192,Lois Lowry,4.12,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)","The Lion, the Witch and the Wardrobe",474,C.S. Lewis,4.19,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg
38,The Time Traveler's Wife,The Time Traveler's Wife,167,Audrey Niffenegger,3.95,https://images.gr-assets.com/books/1437728815m/14050.jpg,https://images.gr-assets.com/books/1437728815s/14050.jpg
39,"A Game of Thrones (A Song of Ice and Fire, #1)",A Game of Thrones,101,George R.R. Martin,4.45,https://images.gr-assets.com/books/1436732693m/13496.jpg,https://images.gr-assets.com/books/1436732693s/13496.jpg
40,"Eat, Pray, Love","Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",185,Elizabeth Gilbert,3.51,https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",The Lightning Thief,159,Rick Riordan,4.23,https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg
42,"Little Women (Little Women, #1)",Little Women,1707,Louisa May Alcott,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
43,Jane Eyre,Jane Eyre,2568,"Charlotte Brontë, Michael Mason",4.1,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg
44,"The Notebook (The Notebook, #1)",The Notebook,190,Nicholas Sparks,4.06,https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917s/15931.jpg
45,Life of Pi,Life of Pi,264,Yann Martel,3.88,https://images.gr-assets.com/books/1320562005m/4214.jpg,https://images.gr-assets.com/books/1320562005s/4214.jpg
46,Water for Elephants,Water for Elephants,128,Sara Gruen,4.07,https://images.gr-assets.com/books/1494428973m/43641.jpg,https://images.gr-assets.com/books/1494428973s/43641.jpg
47,The Book Thief,The Book Thief,251,Markus Zusak,4.36,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg
48,Fahrenheit 451,Fahrenheit 451,507,Ray Bradbury,3.97,https://images.gr-assets.com/books/1351643740m/4381.jpg,https://images.gr-assets.com/books/1351643740s/4381.jpg
49,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",194,Stephenie Meyer,3.52,https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440s/49041.jpg
50,Where the Sidewalk Ends,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,45,Shel Silverstein,4.29,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg
51,"City of Bones (The Mortal Instruments, #1)",City of Bones,178,Cassandra Clare,4.12,https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315s/256683.jpg
52,"Eclipse (Twilight, #3)",Eclipse,185,Stephenie Meyer,3.69,https://images.gr-assets.com/books/1361038355m/428263.jpg,https://images.gr-assets.com/books/1361038355s/428263.jpg
53,"Eragon (The Inheritance Cycle, #1)",Eragon,217,Christopher Paolini,3.86,https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852s/113436.jpg
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",The Hitchhiker's Guide to the Galaxy,257,Douglas Adams,4.2,https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754s/11.jpg
55,Brave New World,Brave New World,515,Aldous Huxley,3.97,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574s/5129.jpg
56,"Breaking Dawn (Twilight, #4)",Breaking Dawn,183,Stephenie Meyer,3.7,https://images.gr-assets.com/books/1361039438m/1162543.jpg,https://images.gr-assets.com/books/1361039438s/1162543.jpg
57,The Secret Life of Bees,The Secret Life of Bees,125,Sue Monk Kidd,4.01,https://images.gr-assets.com/books/1473454532m/37435.jpg,https://images.gr-assets.com/books/1473454532s/37435.jpg
58,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,2277,"Mark Twain, John Seelye, Guy Cardwell",3.8,https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850s/2956.jpg
59,Charlotte's Web,Charlotte's Web,180,"E.B. White, Garth Williams, Rosemary Wells",4.15,https://images.gr-assets.com/books/1439632243m/24178.jpg,https://images.gr-assets.com/books/1439632243s/24178.jpg
60,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,183,Mark Haddon,3.85,https://images.gr-assets.com/books/1479863624m/1618.jpg,https://images.gr-assets.com/books/1479863624s/1618.jpg
61,The Girl on the Train,The Girl on the Train,14,Paula Hawkins,3.88,https://images.gr-assets.com/books/1490903702m/22557272.jpg,https://images.gr-assets.com/books/1490903702s/22557272.jpg
62,"The Golden Compass (His Dark Materials, #1)",Northern Lights,287,Philip Pullman,3.94,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg
63,Wuthering Heights,Wuthering Heights,2498,"Emily Brontë, Richard J. Dunn",3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
64,My Sister's Keeper,My Sister's Keeper,125,Jodi Picoult,4.06,https://images.gr-assets.com/books/1369504683m/10917.jpg,https://images.gr-assets.com/books/1369504683s/10917.jpg
65,Slaughterhouse-Five,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",241,Kurt Vonnegut Jr.,4.06,https://images.gr-assets.com/books/1440319389m/4981.jpg,https://images.gr-assets.com/books/1440319389s/4981.jpg
66,Gone with the Wind,Gone with the Wind,409,Margaret Mitchell,4.28,https://images.gr-assets.com/books/1328025229m/18405.jpg,https://images.gr-assets.com/books/1328025229s/18405.jpg
67,A Thousand Splendid Suns,A Thousand Splendid Suns,197,Khaled Hosseini,4.34,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969s/128029.jpg
68,The Perks of Being a Wallflower,The Perks of Being a Wallflower,128,Stephen Chbosky,4.21,https://images.gr-assets.com/books/1167352178m/22628.jpg,https://images.gr-assets.com/books/1167352178s/22628.jpg
69,"Insurgent (Divergent, #2)",Insurgent,164,Veronica Roth,4.07,https://images.gr-assets.com/books/1325667729m/11735983.jpg,https://images.gr-assets.com/books/1325667729s/11735983.jpg
70,"Ender's Game (Ender's Saga, #1)",Ender's Game,224,Orson Scott Card,4.3,https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg
71,Frankenstein,"Frankenstein; or, The Modern Prometheus",2618,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",3.75,https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375s/18490.jpg
72,The Shining (The Shining #1),The Shining,289,Stephen King,4.17,https://images.gr-assets.com/books/1353277730m/11588.jpg,https://images.gr-assets.com/books/1353277730s/11588.jpg
73,"The Host (The Host, #1)",The Host,161,Stephenie Meyer,3.84,https://images.gr-assets.com/books/1318009171m/1656001.jpg,https://images.gr-assets.com/books/1318009171s/1656001.jpg
74,Looking for Alaska,Looking for Alaska,187,John Green,4.09,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630s/99561.jpg
75,"Bridget Jones's Diary (Bridget Jones, #1)",Abc,193,Helen Fielding,3.75,https://images.gr-assets.com/books/1292060045m/227443.jpg,https://images.gr-assets.com/books/1292060045s/227443.jpg
76,Sense and Sensibility,Sense and Sensibility,1969,"Jane Austen, Tony Tanner, Ros Ballaster",4.06,https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675s/14935.jpg
77,"Holes (Holes, #1)",Holes,138,"Louis Sachar, Louis Sachar",3.93,https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",The Devil Wears Prada,129,Lauren Weisberger,3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
79,The Odyssey,Ὀδύσσεια,1703,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",3.73,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg
80,The Little Prince,Le Petit Prince,1708,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",4.28,https://images.gr-assets.com/books/1367545443m/157993.jpg,https://images.gr-assets.com/books/1367545443s/157993.jpg
81,The Glass Castle,The Glass Castle,92,Jeannette Walls,4.24,https://images.gr-assets.com/books/1400930557m/7445.jpg,https://images.gr-assets.com/books/1400930557s/7445.jpg
82,Into the Wild,Into the Wild,108,Jon Krakauer,3.94,https://images.gr-assets.com/books/1403173986m/1845.jpg,https://images.gr-assets.com/books/1403173986s/1845.jpg
83,A Tale of Two Cities,A Tale of Two Cities,525,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",3.81,https://images.gr-assets.com/books/1344922523m/1953.jpg,https://images.gr-assets.com/books/1344922523s/1953.jpg
84,"Jurassic Park (Jurassic Park, #1)",Jurassic Park,176,Michael Crichton,3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
85,The Giving Tree,The Giving Tree,81,Shel Silverstein,4.38,https://images.gr-assets.com/books/1174210942m/370493.jpg,https://images.gr-assets.com/books/1174210942s/370493.jpg
86,A Time to Kill,A Time to Kill,158,John Grisham,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
87,Night (The Night Trilogy #1),Un di Velt Hot Geshvign,109,"Elie Wiesel, Marion Wiesel",4.3,https://images.gr-assets.com/books/1473495285m/1617.jpg,https://images.gr-assets.com/books/1473495285s/1617.jpg
88,Paper Towns,Paper Towns,178,John Green,3.88,https://images.gr-assets.com/books/1349013610m/6442769.jpg,https://images.gr-assets.com/books/1349013610s/6442769.jpg
89,The Princess Bride ,The Princess Bride,129,William Goldman,4.25,https://images.gr-assets.com/books/1327903636m/21787.jpg,https://images.gr-assets.com/books/1327903636s/21787.jpg
90,The Outsiders,The Outsiders,156,S.E. Hinton,4.06,https://images.gr-assets.com/books/1442129426m/231804.jpg,https://images.gr-assets.com/books/1442129426s/231804.jpg
91,"The Maze Runner (Maze Runner, #1)",The Maze Runner,147,James Dashner,4.02,https://images.gr-assets.com/books/1375596592m/6186357.jpg,https://images.gr-assets.com/books/1375596592s/6186357.jpg
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,124,"Steven D. Levitt, Stephen J. Dubner",3.93,https://images.gr-assets.com/books/1327909092m/1202.jpg,https://images.gr-assets.com/books/1327909092s/1202.jpg
93,The Secret Garden,The Secret Garden,1350,Frances Hodgson Burnett,4.12,https://images.gr-assets.com/books/1327873635m/2998.jpg,https://images.gr-assets.com/books/1327873635s/2998.jpg
94,One Hundred Years of Solitude,Cien años de soledad,555,"Gabriel García Márquez, Gregory Rabassa",4.04,https://images.gr-assets.com/books/1327881361m/320.jpg,https://images.gr-assets.com/books/1327881361s/320.jpg
95,The Picture of Dorian Gray,The Picture of Dorian Gray,2303,"Oscar Wilde, Jeffrey Eugenides",4.06,https://images.gr-assets.com/books/1424596966m/5297.jpg,https://images.gr-assets.com/books/1424596966s/5297.jpg
96,"Fifty Shades Freed (Fifty Shades, #3)",Fifty Shades Freed,133,E.L. James,3.88,https://images.gr-assets.com/books/1336418837m/13536860.jpg,https://images.gr-assets.com/books/1336418837s/13536860.jpg
97,Dracula,Dracula,2207,"Bram Stoker, Nina Auerbach, David J. Skal",3.98,https://images.gr-assets.com/books/1387151694m/17245.jpg,https://images.gr-assets.com/books/1387151694s/17245.jpg
98,"The Girl Who Played with Fire (Millennium, #2)",Flickan som lekte med elden,209,"Stieg Larsson, Reg Keeland",4.22,https://images.gr-assets.com/books/1351778881m/5060378.jpg,https://images.gr-assets.com/books/1351778881s/5060378.jpg
99,"Fifty Shades Darker (Fifty Shades, #2)",Fifty Shades Darker,147,E.L. James,3.87,https://images.gr-assets.com/books/1358266080m/11857408.jpg,https://images.gr-assets.com/books/1358266080s/11857408.jpg
100,The Poisonwood Bible,The Poisonwood Bible,39,Barbara Kingsolver,4.02,https://images.gr-assets.com/books/1412242487m/7244.jpg,https://images.gr-assets.com/books/1412242487s/7244.jpg
101,Me Talk Pretty One Day,Me Talk Pretty One Day,59,David Sedaris,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
102,Where the Wild Things Are,Where the Wild Things Are,110,Maurice Sendak,4.22,https://images.gr-assets.com/books/1384434560m/19543.jpg,https://images.gr-assets.com/books/1384434560s/19543.jpg
103,The Count of Monte Cristo,Le Comte de Monte-Cristo,1310,"Alexandre Dumas, Robin Buss",4.21,https://images.gr-assets.com/books/1309203605m/7126.jpg,https://images.gr-assets.com/books/1309203605s/7126.jpg
104,The Road,The Road,181,Cormac McCarthy,3.95,https://images.gr-assets.com/books/1439197219m/6288.jpg,https://images.gr-assets.com/books/1439197219s/6288.jpg
105,"Allegiant (Divergent, #3)",Allegiant,153,Veronica Roth,3.63,https://images.gr-assets.com/books/1395582745m/18710190.jpg,https://images.gr-assets.com/books/1395582745s/18710190.jpg
106,Bossypants,Bossypants,48,Tina Fey,3.94,https://images.gr-assets.com/books/1481509554m/9418327.jpg,https://images.gr-assets.com/books/1481509554s/9418327.jpg
107,A Walk to Remember,A Walk to Remember,131,Nicholas Sparks,4.15,https://images.gr-assets.com/books/1385738968m/3473.jpg,https://images.gr-assets.com/books/1385738968s/3473.jpg
108,"Confessions of a Shopaholic (Shopaholic, #1)",Confessions of a Shopaholic,144,Sophie Kinsella,3.61,https://images.gr-assets.com/books/1327872404m/9416.jpg,https://images.gr-assets.com/books/1327872404s/9416.jpg
109,Les Misérables,Les Misérables,1319,"Victor Hugo, Lee Fahnestock, Norman MacAfee",4.14,https://images.gr-assets.com/books/1411852091m/24280.jpg,https://images.gr-assets.com/books/1411852091s/24280.jpg
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",A Clash of Kings,202,George R.R. Martin,4.4,https://images.gr-assets.com/books/1358254974m/10572.jpg,https://images.gr-assets.com/books/1358254974s/10572.jpg
111,The Memory Keeper's Daughter,The Memory Keeper's Daughter,98,Kim Edwards,3.64,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
112,"Me Before You (Me Before You, #1)",Me Before You,168,Jojo Moyes,4.27,https://images.gr-assets.com/books/1357108762m/15507958.jpg,https://images.gr-assets.com/books/1357108762s/15507958.jpg
113,Catch-22,Catch-22,251,Joseph Heller,3.98,https://images.gr-assets.com/books/1463157317m/168668.jpg,https://images.gr-assets.com/books/1463157317s/168668.jpg
114,Tuesdays with Morrie,Tuesdays with Morrie,172,"Mitch Albom, Saulius Dagys",4.06,https://images.gr-assets.com/books/1423763749m/6900.jpg,https://images.gr-assets.com/books/1423763749s/6900.jpg
115,Middlesex,Middlesex,125,Jeffrey Eugenides,3.98,https://images.gr-assets.com/books/1437029776m/2187.jpg,https://images.gr-assets.com/books/1437029776s/2187.jpg
116,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,2448,"Mark Twain, Guy Cardwell, John Seelye",3.89,https://images.gr-assets.com/books/1404811979m/24583.jpg,https://images.gr-assets.com/books/1404811979s/24583.jpg
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",A Wrinkle in Time,165,Madeleine L'Engle,4.04,https://images.gr-assets.com/books/1329061522m/18131.jpg,https://images.gr-assets.com/books/1329061522s/18131.jpg
118,The Joy Luck Club,The Joy Luck Club,126,Amy Tan,3.9,https://images.gr-assets.com/books/1304978653m/7763.jpg,https://images.gr-assets.com/books/1304978653s/7763.jpg
119,The Handmaid's Tale,The Handmaid's Tale,236,Margaret Atwood,4.06,https://images.gr-assets.com/books/1498057733m/38447.jpg,https://images.gr-assets.com/books/1498057733s/38447.jpg
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",The Sisterhood of the Traveling Pants,93,Ann Brashares,3.75,https://images.gr-assets.com/books/1461611233m/452306.jpg,https://images.gr-assets.com/books/1461611233s/452306.jpg
121,Lolita,Lolita,370,"Vladimir Nabokov, Craig Raine",3.88,https://images.gr-assets.com/books/1377756377m/7604.jpg,https://images.gr-assets.com/books/1377756377s/7604.jpg
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Wicked: The Life and Times of the Wicked Witch of the West,80,"Gregory Maguire, Douglas Smith",3.52,https://images.gr-assets.com/books/1437733293m/37442.jpg,https://images.gr-assets.com/books/1437733293s/37442.jpg
123,"The Firm (Penguin Readers, Level 5)",The Firm,11,John Grisham,3.99,https://images.gr-assets.com/books/1418465200m/5358.jpg,https://images.gr-assets.com/books/1418465200s/5358.jpg
124,Room,Room,151,Emma Donoghue,4.03,https://images.gr-assets.com/books/1344265419m/7937843.jpg,https://images.gr-assets.com/books/1344265419s/7937843.jpg
125,Hamlet,"The Tragicall Historie of Hamlet, Prince of Denmark",1929,"William Shakespeare, Richard Andrews, Rex Gibson",4.0,https://images.gr-assets.com/books/1351051208m/1420.jpg,https://images.gr-assets.com/books/1351051208s/1420.jpg
126,Dune (Dune Chronicles #1),Dune,241,Frank Herbert,4.19,https://images.gr-assets.com/books/1434908555m/234225.jpg,https://images.gr-assets.com/books/1434908555s/234225.jpg
127,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,100,Malcolm Gladwell,3.92,https://images.gr-assets.com/books/1473396980m/2612.jpg,https://images.gr-assets.com/books/1473396980s/2612.jpg
128,Steve Jobs,Steve Jobs,190,Walter Isaacson,4.09,https://images.gr-assets.com/books/1327861368m/11084145.jpg,https://images.gr-assets.com/books/1327861368s/11084145.jpg
129,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,275,Ken Kesey,4.18,https://images.gr-assets.com/books/1485308778m/332613.jpg,https://images.gr-assets.com/books/1485308778s/332613.jpg
130,The Old Man and the Sea,The Old Man and the Sea,666,Ernest Hemingway,3.73,https://images.gr-assets.com/books/1329189714m/2165.jpg,https://images.gr-assets.com/books/1329189714s/2165.jpg
131,The Grapes of Wrath,The Grapes of Wrath,381,John Steinbeck,3.92,https://images.gr-assets.com/books/1352912927m/4395.jpg,https://images.gr-assets.com/books/1352912927s/4395.jpg
132,The Five People You Meet in Heaven,The Five People You Meet in Heaven,123,Mitch Albom,3.9,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
133,"Anne of Green Gables (Anne of Green Gables, #1)",Anne of Green Gables,1314,L.M. Montgomery,4.23,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
